"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Stew/Materials/FlourSack/FlourSack_M.FlourSack_M","0","23","1","1","22.696117","0","146"
"/Game/Stew/Materials/Basil/Single/SingleBasil_M.SingleBasil_M","0","23","1","1","25.438868","0","124"
"/Game/Stew/Materials/Basil/Chain/ChainBasil_M.ChainBasil_M","0","23","1","1","26.833818","0","108"
"/Game/Stew/Materials/Book/Book_M.Book_M","0","23","2","1","26.307459","0","99"
"/Game/Stew/Materials/Counter/Counter_M.Counter_M","0","23","5","1","25.731194","0","107"
"/Game/Stew/Materials/Stove/Stove_M.Stove_M","0","23","1","1","25.058855","0","91"
"/Game/Stew/Materials/WholeTomato/WholeTomato_M.WholeTomato_M","0","23","1","1","25.315966","0","126"
"/Game/Stew/Materials/BackSplashTIles/BackSplashTIles_M.BackSplashTIles_M","0","23","7","1","25.879107","0","96"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","12","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","145","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
